electoral_district_number,electoral_district_name,electoral_district_name_fr
35016,Cambridge,Cambridge
35017,Chatham-Kent--Leamington,Chatham-Kent--Leamington
35018,Davenport,Davenport
35019,Don Valley East,Don Valley-Est
35020,Don Valley North,Don Valley-Nord
35021,Don Valley West,Don Valley-Ouest
35022,Dufferin--Caledon,Dufferin--Caledon
35023,Durham,Durham
35024,Eglinton--Lawrence,Eglinton--Lawrence
35025,Elgin--Middlesex--London,Elgin--Middlesex--London
35026,Essex,Essex
35027,Etobicoke Centre,Etobicoke-Centre
35028,Etobicoke--Lakeshore,Etobicoke--Lakeshore
35029,Etobicoke North,Etobicoke-Nord
35030,Flamborough--Glanbrook,Flamborough--Glanbrook
35031,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell
35032,Guelph,Guelph
35033,Haldimand--Norfolk,Haldimand--Norfolk
35034,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock
35035,Hamilton Centre,Hamilton-Centre
35036,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek
35037,Hamilton Mountain,Hamilton Mountain
35038,Hamilton West--Ancaster--Dundas,Hamilton-Ouest--Ancaster--Dundas
35039,Hastings--Lennox and Addington,Hastings--Lennox and Addington
35040,Huron--Bruce,Huron--Bruce
35041,Kanata--Carleton,Kanata--Carleton
35042,Kenora,Kenora
35043,King--Vaughan,King--Vaughan
35044,Kingston and the Islands,Kingston et les Îles
35045,Kitchener Centre,Kitchener-Centre
35046,Kitchener--Conestoga,Kitchener--Conestoga
35047,Kitchener South--Hespeler,Kitchener-Sud--Hespeler
35048,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex
35049,Lanark--Frontenac--Kingston,Lanark--Frontenac--Kingston
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,Leeds-Grenville-Thousand Islands et Rideau Lakes
35051,London--Fanshawe,London--Fanshawe
35052,London North Centre,London-Centre-Nord
35053,London West,London-Ouest
35054,Markham--Stouffville,Markham--Stouffville
35055,Markham--Thornhill,Markham--Thornhill
35056,Markham--Unionville,Markham--Unionville
35057,Milton,Milton
35058,Mississauga Centre,Mississauga-Centre
35059,Mississauga East--Cooksville,Mississauga-Est--Cooksville
